JO#	Qty	Sections	Sheets	Income Date	RAP Date	P/L Date	Finished
2722545	11600	3	34800	22/12/2016	1/6/2017	12/6/2017	none
2722549	11600	3	34800	22/12/2016	1/6/2017	12/6/2017	none
2722550	11600	3	34800	22/12/2016	1/6/2017	12/6/2017	none
2722546	11600	3	34800	22/12/2016	1/6/2017	12/6/2017	none
2722544	11600	3	34800	22/12/2016	1/6/2017	12/6/2017	none
2725942	4950	23	113850	3/3/2017	1/6/2017	27/5/2017	none
2725607	10250	16	164000	14/2/2017	1/6/2017	6/6/2017	none
2725602	10250	20	205000	13/2/2017	1/6/2017	6/6/2017	none
2725608	14250	16	228000	14/2/2017	1/6/2017	6/6/2017	none
2725601	14250	20	285000	13/2/2017	1/6/2017	3/6/2017	none
2726337	10400	22	228800	6/3/2017	1/7/2017	15/6/2017	none
2726336	18650	22	410300	6/3/2017	1/7/2017	20/6/2017	none
2725612	1450	1	1450	23/2/2017	7/7/2017	8/7/2017	none
2725611	3800	1	3800	23/2/2017	7/7/2017	8/7/2017	none
2725613	5250	27	141750	23/2/2017	7/7/2017	8/7/2017	none
